State,Year,Worked at home
Alabama,2018,68856
Alabama,2019,71617
Alabama,2020,178577
Alabama,2021,206820
Alabama,2022,199321
Alaska,2018,17696
Alaska,2019,14782
Alaska,2020,39186
Alaska,2021,35235
Alaska,2022,33843
Arizona,2018,212657
Arizona,2019,246651
Arizona,2020,581707
Arizona,2021,675552
Arizona,2022,647427
Arkansas,2018,47991
Arkansas,2019,45324
Arkansas,2020,100165
Arkansas,2021,126793
Arkansas,2022,115063
California,2018,1099288
California,2019,1179695
California,2020,3332699
California,2021,3789909
California,2022,3182255
Colorado,2018,251298
Colorado,2019,272151
Colorado,2020,609270
Colorado,2021,708167
Colorado,2022,657767
Connecticut,2018,95973
Connecticut,2019,93999
Connecticut,2020,311148
Connecticut,2021,339658
Connecticut,2022,279756
Delaware,2018,25348
Delaware,2019,23837
Delaware,2020,74922
Delaware,2021,83808
Delaware,2022,73532
District of Columbia,2018,22767
District of Columbia,2019,27039
District of Columbia,2020,130460
District of Columbia,2021,167796
District of Columbia,2022,123841
Florida,2018,585777
Florida,2019,680759
Florida,2020,1386100
Florida,2021,1634215
Florida,2022,1690014
Georgia,2018,285546
Georgia,2019,341031
Georgia,2020,753492
Georgia,2021,895900
Georgia,2022,847808
Hawaii,2018,36195
Hawaii,2019,33250
Hawaii,2020,69485
Hawaii,2021,71409
Hawaii,2022,64485
Idaho,2018,49226
Idaho,2019,61639
Idaho,2020,118918
Idaho,2021,116859
Idaho,2022,118119
Illinois,2018,312895
Illinois,2019,327128
Illinois,2020,983200
Illinois,2021,1144088
Illinois,2022,972625
Indiana,2018,118343
Indiana,2019,135141
Indiana,2020,352467
Indiana,2021,373702
Indiana,2022,340891
Iowa,2018,77819
Iowa,2019,87100
Iowa,2020,183118
Iowa,2021,210474
Iowa,2022,175097
Kansas,2018,65004
Kansas,2019,72330
Kansas,2020,179083
Kansas,2021,196492
Kansas,2022,172210
Kentucky,2018,77942
Kentucky,2019,82940
Kentucky,2020,219649
Kentucky,2021,223682
Kentucky,2022,211117
Louisiana,2018,66008
Louisiana,2019,78078
Louisiana,2020,152140
Louisiana,2021,157738
Louisiana,2022,162578
Maine,2018,38816
Maine,2019,40476
Maine,2020,102773
Maine,2021,116007
Maine,2022,105933
Maryland,2018,154424
Maryland,2019,166922
Maryland,2020,613508
Maryland,2021,727477
Maryland,2022,600794
Massachusetts,2018,182642
